Winery,Latitude,Longitude
Plantagenet,-34.6231932,117.6620669
Xanadu,-33.9826491,115.0564272
Vasse River,-33.67725249354625,119.1884851077088
Robert Oatley,-27.6728168,121.6283098
Picardy,-34.3958434,116.1287217
Frankland Estate,-34.4628714,117.013378
West Cape Howe,-34.655733,117.557831
Leeuwin Estate,-34.013389,115.0656521
Wildberry Estate,-27.6728168,121.6283098
Vasse Felix,-33.8224684,115.0377261
Watershed,-33.99248,115.090956
Clairault,-33.7320711,115.0534737
Strait Jacket,-27.6728168,121.6283098
Cullen,-33.8188285,115.0379333
Voyager Estate,-33.9967426,115.0541669
Element,-27.6728168,121.6283098
Hamelin Bay,-34.1736259,115.1211995
Stella Bella,-33.97247249999999,115.1030429
Howard Park,-33.8310998,115.058846
Ironberry,-27.6728168,121.6283098
Cape Mentelle,-33.9670545,115.0373
Streicker,-33.7320711,115.0534737
Cloudburst,-27.6728168,121.6283098
Rocky Gully,-34.5086841,117.0087966
Juniper,-33.82446,115.048465
Mad Fish,-33.831211,115.0585231
Skuttlebutt,-27.6728168,121.6283098
Alkoomi,-34.3558774,116.9649844
Devil's Lair,-34.0726227,115.1073846
Beach Head,-27.6728168,121.6283098
Moss Wood,-33.7838823,115.0358115
Wise,-33.579833,115.072491
Miles From Nowhere,-27.6728168,121.6283098
Cherubino,-33.7451553,115.0301258
Celestial Bay,-32.015516,115.868497
Salitage,-34.4058746,116.1289347
Snake and Herring,-33.769747,115.0353225
Chalice Bridge,-27.6728168,121.6283098
Ringbolt,-27.6728168,121.6283098
Evans and Tate,-33.7882981,115.0349515
Ad Lib,-27.6728168,121.6283098
Edwards,-33.8975372,115.0302065
Fonty's Pool,-34.2896328,116.0661406
Franklin Tate,-27.6728168,121.6283098
Sandalford,-31.8687178,115.9927081
Kiss Chasey,-27.6728168,121.6283098
Merops,-33.9478992,115.0694631
Killerby,-33.8133197,115.0359529
Vinaceous,-27.6728168,121.6283098
Marquee,-27.6728168,121.6283098
Larry Cherubino,-27.6728168,121.6283098
Capel Vale,-33.541308,115.549871
Howling Wolves,-31.7890038,115.8316117
Bush Bike,-27.6728168,121.6283098
Happs,-33.6649255,115.0956214
Xavier Flouret,-27.6728168,121.6283098
Ferngrove,-34.3796229,116.933615
The Wishing Tree,-27.6728168,121.6283098
Marchand and Burch,-33.831211,115.0585231
