Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,10905,1994,null,null,null,null,null,2.2,18.8,23.4,26.6,48.6,15.6,9.8,null
IDCJAC0001,10905,1995,31.6,30,18.8,4,41.8,37.6,60,22,56.2,46.6,9,67,424.6
IDCJAC0001,10905,1996,1.2,11.4,6,13.6,27.8,5.2,93.4,43.8,73.6,26.4,27,6.2,335.6
IDCJAC0001,10905,1997,2.4,41.2,74,55.4,33.3,38.7,50,59.6,65.9,24.1,64.9,14,523.5
IDCJAC0001,10905,1998,1.4,2,29.4,77.8,26.6,73.6,37.8,77.7,29,49,18.8,10.4,433.5
IDCJAC0001,10905,1999,52.8,16,37.8,9.2,70,36.6,40.2,39,60.2,43.2,44.4,46.8,496.2
IDCJAC0001,10905,2000,148.6,15.4,38,16.2,14,44.6,44,37.2,16,16.4,10.6,12.2,413.2
IDCJAC0001,10905,2001,16.8,4.2,14.6,22.2,34.8,19,82.4,77.4,51.8,34.2,53.6,94.6,505.6
IDCJAC0001,10905,2002,5.8,10.8,10.8,25.8,16.2,16.4,42.2,38.4,24.4,34.6,21.6,20,267
IDCJAC0001,10905,2003,2.2,69,71.4,56.4,36.6,36.8,58.8,88.2,83,89.4,17.8,8.8,618.4
IDCJAC0001,10905,2004,62.4,41.6,19.8,29,24,58.2,34.8,56.4,24,13.4,25.8,8.2,397.6
IDCJAC0001,10905,2005,4.6,10.2,25.6,108.6,74.6,103.4,27.4,68.4,55,78.6,30.8,12.4,599.6
IDCJAC0001,10905,2006,144.6,14,30.8,59.6,17,23.2,56.8,46,24,9.4,34.4,2.6,462.4
IDCJAC0001,10905,2007,44,7,13.2,96.4,16.8,40,52,34.2,54,67,1.4,44.4,470.4
IDCJAC0001,10905,2008,22.6,8.2,4.2,57,17.8,33.8,95,15.4,79.4,93,89.8,65,581.2
IDCJAC0001,10905,2009,16.4,9.4,57.4,19.2,10.2,83,31,40.8,63.8,23.2,34.8,5,394.2
IDCJAC0001,10905,2010,11.2,38.6,45.6,42.8,40,43.8,34.4,22.6,26.8,16.2,21.2,21.4,364.6
IDCJAC0001,10905,2011,52.8,28,5.2,42.8,6,23.6,51.4,53.6,40.6,90.2,64.2,50.2,508.6
IDCJAC0001,10905,2012,15.2,12.6,1.2,null,5.2,51.6,53.6,54.6,47.2,2.6,31,25.8,null
IDCJAC0001,10905,2013,34.4,4.8,62.8,25.4,68.6,19.2,null,null,7.6,2.2,2,6.2,null
IDCJAC0001,10905,2014,4,7.4,9.6,65.6,65.4,39.2,75.2,44.4,45,71.8,37.2,38,502.8
IDCJAC0001,10905,2015,5.4,6.8,46.4,46.4,34.8,41.2,46.8,55,11.8,19.8,27.4,69.4,411.2
IDCJAC0001,10905,2016,81.6,13.8,null,null,null,92.2,29.8,121,63,19.2,29.2,57.8,null
IDCJAC0001,10905,2017,3.4,84.8,30.2,19.8,30.8,43.4,49.2,69.4,57.8,33.4,14,26.2,462.4
IDCJAC0001,10905,2018,17.2,18.2,17,7.8,16.4,40.4,49,57.2,11.4,29.6,17.4,5,286.6
IDCJAC0001,10905,2019,0,0,61.2,20,26.6,39.2,31.8,48.8,23.8,19.2,6.8,1.2,278.6
IDCJAC0001,10905,2020,3.2,58.8,21.4,10.4,47.2,33,40.6,73,44.4,37.8,46.2,13.8,429.8
IDCJAC0001,10905,2021,5.2,32,71.4,68,84.4,87,98.2,24,41,65.6,13.4,10.2,600.4
IDCJAC0001,10905,2022,10.8,24.2,68.4,77.4,74.6,null,null,null,null,null,null,null,null
