,Winery,Latitude,Longitude,Closest_weather_station,Name_of_weather_station
0,Plantagenet,-34.62,117.66,9581,"Mount Barker, WA"
1,Xanadu,-33.98,115.06,9574,"Margaret River, WA"
2,Vasse River,-33.68,119.19,10905,"Jacup, WA"
3,Robert Oatley,-27.67,121.63,12304,"Melrose, WA"
4,Picardy,-34.4,116.13,9592,"Pemberton, WA"
5,Frankland Estate,-34.46,117.01,9843,"Frankland Vineyards, WA"
6,Hope Estate,-32.77,151.31,,NSW result - not valid
7,West Cape Howe,-34.66,117.56,9581,"Mount Barker, WA"
8,Leeuwin Estate,-34.01,115.07,9574,"Margaret River, WA"
9,Wildberry Estate,-27.67,121.63,12304,"Melrose, WA"
10,Vasse Felix,-33.82,115.04,9636,"Cowaramup, WA"
11,Watershed,-33.99,115.09,9574,"Margaret River, WA"
12,Clairault,-33.73,115.05,9636,"Cowaramup, WA"
13,Strait Jacket,-27.67,121.63,12304,"Melrose, WA"
14,Cullen,-33.82,115.04,9636,"Cowaramup, WA"
15,Voyager Estate,-34,115.05,9574,"Margaret River, WA"
16,Element,-27.67,121.63,12304,"Melrose, WA"
17,Hamelin Bay,-34.17,115.12,9801,Alexandra Bridge
18,Stella Bella,-33.97,115.1,9574,"Margaret River, WA"
19,Howard Park,-33.83,115.06,9636,"Cowaramup, WA"
20,Ironberry,-27.67,121.63,12304,"Melrose, WA"
21,Cape Mentelle,-33.97,115.04,9574,"Margaret River, WA"
22,Streicker,-33.73,115.05,9636,"Cowaramup, WA"
23,Cloudburst,-27.67,121.63,12304,"Melrose, WA"
24,Rocky Gully,-34.51,117.01,9661,"Rocky Gully Town, WA"
25,Juniper,-33.82,115.05,9636,"Cowaramup, WA"
26,Mad Fish,-33.83,115.06,9636,"Cowaramup, WA"
27,Skuttlebutt,-27.67,121.63,12304,"Melrose, WA"
28,Alkoomi,-34.36,116.96,9843,"Frankland Vineyards, WA"
29,Devil's Lair,-34.07,115.11,9547,"Forest Grove, WA"
30,Beach Head,-27.67,121.63,12304,"Melrose, WA"
31,Moss Wood,-33.78,115.04,9636,"Cowaramup, WA"
32,Wise,-33.58,115.07,9519,"Cape Naturaliste, WA"
33,Miles From Nowhere,-27.67,121.63,12304,"Melrose, WA"
34,Cherubino,-33.75,115.03,9636,"Cowaramup, WA"
35,Celestial Bay,-32.02,115.87,9172,"Jandakot Aero, WA"
36,Salitage,-34.41,116.13,9592,"Pemberton, WA"
37,Snake and Herring,-33.77,115.04,9636,"Cowaramup, WA"
38,Chalice Bridge,-27.67,121.63,12304,"Melrose, WA"
39,Ringbolt,-27.67,121.63,12304,"Melrose, WA"
40,Evans and Tate,-33.79,115.03,9636,"Cowaramup, WA"
41,Ad Lib,-27.67,121.63,12304,"Melrose, WA"
42,Edwards,-33.9,115.03,9574,"Margaret River, WA"
43,Fonty's Pool,-34.29,116.07,9573,"Manjimup, WA"
44,Franklin Tate,-27.67,121.63,12304,"Melrose, WA"
45,Sandalford,-31.87,115.99,9025,"Midland, WA"
46,Kiss Chasey,-27.67,121.63,12304,"Melrose, WA"
47,Merops,-33.95,115.07,9574,"Margaret River, WA"
48,Killerby,-33.81,115.04,9636,"Cowaramup, WA"
49,Vinaceous,-27.67,121.63,12304,"Melrose, WA"
50,Marquee,-27.67,121.63,12304,"Melrose, WA"
51,Larry Cherubino,-27.67,121.63,12304,"Melrose, WA"
52,Capel Vale,-33.54,115.55,9992,"Capel North, WA"
53,Howling Wolves,-31.79,115.83,9105,"Wanneroo, WA"
54,Bush Bike,-27.67,121.63,12304,"Melrose, WA"
55,Happs,-33.66,115.1,9978,"Jindong, WA"
56,Xavier Flouret,-27.67,121.63,12304,"Melrose, WA"
57,Ferngrove,-34.38,116.93,9843,"Frankland Vineyards, WA"
58,The Wishing Tree,-27.67,121.63,12304,"Melrose, WA"
59,Marchand and Burch,-33.83,115.06,9636,"Cowaramup, WA"
